dataset_id,file_path,publisher,source_url,retrieved_at,bytes,sha256,license,license_file,intended_use,limitations
BSI-IFC-PCERT-LICENSE,data/public/buildingsmart/ifc-pcert/LICENSE,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/Certification-datasets/main/LICENSE,2026-08-22,317,3e20c50b6edfdb4be207f64495586115d0574c8394538109d74f79e1d8976d18,CC-BY-4.0,data/public/buildingsmart/ifc-pcert/LICENSE,Licence evidence,Licence text only
BSI-IFC-PCERT,data/public/buildingsmart/ifc-pcert/Building-Architecture.ifc,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/Certification-datasets/main/IFC%204.0.2.1%20%28IFC%204%29/PCERT-Sample-Scene/Building-Architecture.ifc,2026-08-22,225635,3ff9b10bd00c7b96dded51e7ca5a6b69efbea38b049adcdd05fcd247de7e70d5,CC-BY-4.0,data/public/buildingsmart/ifc-pcert/LICENSE,IFC parser and multidisciplinary identity tests,Certification sample; not an Indian or production project
BSI-IFC-PCERT,data/public/buildingsmart/ifc-pcert/Building-Structural.ifc,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/Certification-datasets/main/IFC%204.0.2.1%20%28IFC%204%29/PCERT-Sample-Scene/Building-Structural.ifc,2026-08-22,296640,68be722391e7aaa53bb9278645a02aa4b6382f13cc07548a1612e9b1dc3def67,CC-BY-4.0,data/public/buildingsmart/ifc-pcert/LICENSE,IFC parser and structural object tests,Certification sample; not a detailed steel-fabrication model
BSI-IFC-PCERT,data/public/buildingsmart/ifc-pcert/Building-Hvac.ifc,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/Certification-datasets/main/IFC%204.0.2.1%20%28IFC%204%29/PCERT-Sample-Scene/Building-Hvac.ifc,2026-08-22,179727,11a8552bc555fa44dfdc49374d1ab2da0a16104c10f086af509f500ce03fa2b3,CC-BY-4.0,data/public/buildingsmart/ifc-pcert/LICENSE,IFC parser and discipline federation tests,Certification sample; not an Indian or production project
BSI-IFC-PCERT,data/public/buildingsmart/ifc-pcert/Building-Landscaping.ifc,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/Certification-datasets/main/IFC%204.0.2.1%20%28IFC%204%29/PCERT-Sample-Scene/Building-Landscaping.ifc,2026-08-22,1467652,56258ede9b92936f6f2dfc5319a497e1528810c69a3fe5ad5ebf39687539ecd1,CC-BY-4.0,data/public/buildingsmart/ifc-pcert/LICENSE,IFC parser and site/landscape context tests,Certification sample; not an Indian or production project
BSI-BCF-3-LICENSE,data/public/buildingsmart/bcf-test-cases/LICENSE,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/BCF-XML/release_3_0/LICENSE,2026-08-22,229,692a4aeb135d527412ac7a395eae7fe093daa10a029abcd893a6b8facb3ee136,CC-BY-ND-4.0,data/public/buildingsmart/bcf-test-cases/LICENSE,Licence evidence,Licence text only
BSI-BCF-3-TEST,data/public/buildingsmart/bcf-test-cases/Topics-with-different-models-visible.bcf,buildingSMART International,https://raw.githubusercontent.com/buildingSMART/BCF-XML/release_3_0/Test%20Cases/v3.0/Visualization/Topics%20with%20different%20models%20visible/Topics%20with%20different%20models%20visible.bcf,2026-08-22,38459,aabe73f5ca7aad37bb6343836a9fedff21233bf10bb9873727fd89236ba22e94,CC-BY-ND-4.0,data/public/buildingsmart/bcf-test-cases/LICENSE,BCF archive topic/viewpoint/snapshot parsing,Conformance test; not tied to the PCERT IFC scene; retain unmodified
BIS-ACADEMIC-SOURCES,data/public/bis/academic/SOURCES.json,Bureau of Indian Standards,https://standardsbis.bsbedge.com/,2026-08-22,4106,e9869b9f2769976bf3e3604110556f9b282a7068835922a53932232bfd59451e,BIS-public-website-terms,data/public/bis/academic/terms/bis-download-guidance.pdf,Configured India building and structural standard families,Academic source configuration; not a standard
BIS-ACADEMIC-MANIFEST,data/public/bis/academic/MANIFEST.jsonl,Bureau of Indian Standards,https://standardsbis.bsbedge.com/,2026-08-22,87971,e1740c7a332815c5a578110543799e9429876d15574fd86ac2947c7643b2b7bd,BIS-public-website-terms,data/public/bis/academic/terms/bis-download-guidance.pdf,Provenance for 88 official public preview records,Public preview or metadata only; not full-standard claim
BIS-ACADEMIC-INDEX,data/public/bis/academic/INDEX.jsonl,Bureau of Indian Standards,https://standardsbis.bsbedge.com/,2026-08-22,225398,b33e76554ea05a89a2f9b447819a1eb9bfd877e202f73e2f736c9c65e8ae8f2d,BIS-public-website-terms,data/public/bis/academic/terms/bis-download-guidance.pdf,Academic retrieval index with 138 labelled chunks,Public preview or metadata only; project applicability not established
BIS-COPYRIGHT-POLICY,data/public/bis/academic/terms/bis-copyright-policy.html,Bureau of Indian Standards,https://www.bis.gov.in/copyright-policy/?lang=en,2026-08-22,402430,2aa483d74124d16b1a06dd0b3ffa60b7d8151f6d5a59868334bc0ff0d7898502,BIS-public-website-terms,data/public/bis/academic/terms/bis-copyright-policy.html,Access and attribution evidence,Policy snapshot only
BIS-DOWNLOAD-GUIDANCE,data/public/bis/academic/terms/bis-download-guidance.pdf,Bureau of Indian Standards,https://www.bis.gov.in/wp-content/uploads/2021/08/STEPS-TO-DOWNLOAD-INDIAN-STANDARDS..pdf,2026-08-22,1569066,5747f7c5baf3d477339063eac82042e720b25c82c0517bc44853c3c59bc6ae22,BIS-public-website-terms,data/public/bis/academic/terms/bis-download-guidance.pdf,Academic-use and download-condition evidence,Guidance document only
